artTitle,artDate,artTime,artUrl,artPoster,artCat,commentNum,push,boo,sentence
[問卦]如果打BNT猝死誰要負責？,2021/09/01,01:56:50,https://www.ptt.cc/bbs/Gossiping/M.1630461412.A.D6B.html,wang111283,Gossiping,26,10,3,"我旁邊的塔綠班班代一直說沒故意卡bnt

是為了取得完整文件

以後出問題才可以溯源、找原廠負責

所以如果打德國原廠復必泰標籤的台灣BNT後猝死

是台灣or德國or復星要負責？

啊高端、az、莫德納打死的有負過責嗎？

沒有的話 文件不就假議題？
"
[問卦]塔綠班的笑點在哪,2021/09/01,01:57:47,https://www.ptt.cc/bbs/Gossiping/M.1630461469.A.515.html,pttcat,Gossiping,448,228,11,"女口是頁

最近很流行的塔綠班笑點到底在哪

是看別人崩潰的樣子很有趣嗎

個人完全感受不到到底哪裡有趣= =

可以告訴小弟梗在哪裡嗎？
-
Sent from JPTT on my iPhone
"
[新聞]神學士接管喀布爾機場炫耀美軍裝備,2021/09/01,02:06:14,https://www.ptt.cc/bbs/Gossiping/M.1630461976.A.5F0.html,YumingHuang,Gossiping,19,6,2,"備註請放最後面 違者新聞文章刪除

1.媒體來源:
蘋果日報

2.記者署名:
（盧宥竹／綜合外電報導）

3.完整新聞標題:
神學士接管喀布爾機場　炫耀美軍裝備糗翻車！3人慘噴車外

4.完整新聞內文:
規

美國駐阿富汗軍隊周一（8/30）全面撤離，包括自本月15日以來負責維護首都喀布爾卡賽
機場的美軍部隊也都已離開。重掌阿富汗的武裝組織「神學士」周二（8/31）進入機場接
收美軍及北約盟軍留下的裝備，被外媒捕捉到他們在機場跑道上狂飆皮卡車，但因速度過
快而翻車，人也摔得狼狽不堪的滑稽場面。

根據法新社記者拍攝到的影片與照片，神學士接管喀布爾機場後，其戰士有如「劉姥姥進
大觀園」，興奮地登上阿富汗政府軍的軍機參觀。有些戰士則興高采烈的擠進皮卡車，一
些人在車輛後方敞開的尾門上搖搖晃晃地或坐或站，並把車開上機場跑道狂飆。

不久後，一輛皮卡車由於車速過快在跑道上翻覆，2名神學士特種部隊「Badri313」成員
和一名記者從卡車後方跌落，摔倒在卡車排出的黑色廢氣中。

儘管場面相當滑稽，但神學士卻是能笑到最後的一方。因為他們在經歷20年的阿富汗戰爭
後，擊敗了世界上資金最充足的軍隊，帶著美國製造的槍械與裝甲車四處走動。

神學士發言人穆賈希德（Zabihullah Mujahid）在喀布爾機場停機坪對媒體發表談話，在
他身後各處，神學士戰事正與剛接收來的飛機、直升機和車輛合影留念。

穆賈希德說，「恭喜阿富汗……這場勝利屬於我們所有人。」他稱這一天「是其他入侵者
和我們後代的重要教訓」，「這是歷史性的日子，也是一個歷史性的一刻。我們為這些時
刻感到驕傲，我們將我們的國家從一個強權手中解放出來。」（盧宥竹／綜合外電報導）


5.完整新聞連結 (或短網址):
https://tw.appledaily.com/international/20210901/EVBNBDHB7BEB3OUQMYOOT4G7WU/
6.備註:
塔綠班：
「菜 B8 、平常上面髮夾彎甩尾沒練喔？」
"
[問卦]尾牙表演塔綠班宇宙相聲+唱歌有搞頭吧!,2021/09/01,02:08:02,https://www.ptt.cc/bbs/Gossiping/M.1630462084.A.A96.html,yniori,Gossiping,23,9,3,"一個朋友剛進金融業

正為了尾牙表演在苦惱

恰好看到現在最熱門的塔綠班宇宙真的超有梗~而且還有專屬歌曲旋律耳熟能詳的福音戰士

就想好要表演這套""塔綠班宇宙單口相聲+唱殘劑天使""

而且昨天有人發文說跟妹子講塔綠班宇宙讓妹子笑呵呵更是打了劑強心針

他非常興奮地傳訊息問說""有搞頭吧"" ""肯定驚豔全場""

該怎麼回?

回他:""好的 塔綠班""?
"
Re:[問卦]塔綠班的笑點在哪,2021/09/01,02:09:35,https://www.ptt.cc/bbs/Gossiping/M.1630462177.A.FD2.html,bebehome,Gossiping,26,4,1,"認真回你啦

就跟以前綠軍整天講喜韓兒，然後自己反串喜韓兒崩潰或耍智障，逗樂一堆綠軍

現在只是換個方向，一堆藍白軍整天講塔綠班，然後自己反串塔綠班崩潰或耍智障
逗樂一堆藍白軍

其實就是自慰的一種


如果不是藍白軍，感受不到笑點是很正常的......

我就綠軍，當年我就不喜歡一堆人反串喜韓兒，感覺很智障

現在我是塔綠班，換對手反串塔綠班耍智障，我是覺得有益綠軍啦




#好的 塔綠班
"
Re:[問卦]塔綠班的笑點在哪,2021/09/01,02:14:02,https://www.ptt.cc/bbs/Gossiping/M.1630462445.A.CAB.html,ttbkissme,Gossiping,13,3,0,"看你這樣質疑，就知道可能你涉世未深，PTT從以前就是超愛玩諧音梗，自創文字婊之類的

有趣的是，這些諧音梗說出來，會有人跳出來說這看不到笑點，或是無聊當有趣，更甚至在崩潰

八卦版從以前就是喜歡去戳惱羞成怒的傢伙，我們越戳，護航的越生氣，我們越開心


生活很困難了，上上八卦版打打嘴砲，弄弄碎玻璃，已經是不少人生活裏的洨確幸了

這樣懂了嗎？塔綠班

-
Sent from JPTT on my Asus ASUS_Z01RD.
"
Re:[問卦]塔綠班的笑點在哪,2021/09/01,02:18:41,https://www.ptt.cc/bbs/Gossiping/M.1630462723.A.E0F.html,yniori,Gossiping,11,7,1,"那你應該要試著跟人家分享塔綠班宇宙~外加唱殘劑天使

就可以GET其中的樂趣

像我就在茶水間跟妹子聊天的時候

用""好的 塔綠班""當開頭問候語

她笑得好爽

接著又外加分享整套塔綠班宇宙+唱幾句殘劑天使

開心地跟妹子度過午休的茶水間時光

昨天我記得也有人分享跟妹子聊塔綠班宇宙的過程~也是很愉快

所以記得跟人家分享這個笑點~分享幾次你就知道梗在哪了~

超好笑的真的

""好的 塔綠班""

笑死
"
Re:[問卦]塔綠班的笑點在哪,2021/09/01,02:23:44,https://www.ptt.cc/bbs/Gossiping/M.1630463027.A.1F8.html,Lailungsheng,Gossiping,9,4,0,"其實我也不知道笑點在哪裡，

塔利班是一個強盜政權，拿著槍搶劫強姦當地人民，

塔綠班也是一個強盜政權，只是它們是透過選舉完獲得的權力來搶劫強姦…

台灣女性不知道何時又會被它們性騷擾，

台灣人的財產也不知道何時會被它們撈錢撈走，

到底有什麼好笑的…


XGiOSdeTA"" alt="""" loading=""lazy"" />"
Re:[新聞]明年3千萬劑BNT陳時中：多了點,2021/09/01,02:39:45,https://www.ptt.cc/bbs/Gossiping/M.1630463992.A.693.html,ejijojo,Gossiping,16,7,1,"好扯……

看到這個新聞真的

規懶趴火牙起來

哪個國家嫌疫苗多的？

什麼打第三劑要評估數量？

事實是第一劑的量 加乞討的 加高端？的

連台灣人一人一劑都有困難

全台都知道疫苗不夠

就你他X的 塔綠班覺得疫苗太多 腦子裝X?

頗呵



-
Sent from JPTT on my Sony G8142.
"
Re:[問卦]塔綠班的笑點在哪,2021/09/01,02:40:40,https://www.ptt.cc/bbs/Gossiping/M.1630464042.A.154.html,r98192,Gossiping,36,9,1,"都這麼多天了還一堆人不知道笑點在哪=_=

重點不在說了什麼好嗎？

而是說了之後別人的反應

沒反應 你一直說也沒啥用 就是沒反應

有反應 就算你只是笑一聲 做個表情 就有人會激烈反應

什麼塔綠班 EUA戰士 我個人也覺得不怎麼樣

但重點來了

就是有些人反應超激烈 像是感度三千倍一樣

就是這個反應在有趣的

所以一堆人根本就是搞錯重點了

說了什麼不重要

重要的是反應如何而
"
Re:[問卦]塔綠班的笑點在哪,2021/09/01,02:59:44,https://www.ptt.cc/bbs/Gossiping/M.1630465191.A.2F5.html,ejijojo,Gossiping,15,11,0,"真的沒笑點

真的塔利班是獨裁政權

用戰車拒馬和人民溝通

不尊重女權 在辦公室就X起來了

控制媒體 讓媒體只報導假消息

總之完全不同

-
Sent from JPTT on my Sony G8142.
"
Re:[問卦]塔綠班的笑點在哪,2021/09/01,03:06:51,https://www.ptt.cc/bbs/Gossiping/M.1630465613.A.734.html,diplomaMill,Gossiping,18,11,0,"就跟國小男生會捉弄愛吼呦的女孩子

貓咪愛抓好動亂跑的小動物一樣

做一件事能夠看到預料中的反饋，實在欲罷不能

更別說如果是現在這種情況，那就是

貓咪揮個手，離他很遠的老鼠就牙起來亂跑亂跳，屢試不爽

試問，如果是你，你舉不舉手

我一定他媽舉爆，看老鼠耍猴戲，自己也不費力氣，爽死
-
Sent from JPTT on my iPhone
"
Re:[問卦]塔綠班的笑點在哪,2021/09/01,03:14:16,https://www.ptt.cc/bbs/Gossiping/M.1630466060.A.F23.html,tn00270144,Gossiping,9,3,0,"塔綠班這詞彙本來不好笑

好笑的是塔綠班會有兩種反應


1.「崩潰」
2.「明明崩潰了，卻裝沒事」
-
Sent from JPTT on my Samsung SM-N9208.
"
[問卦]真的有人敢當面罵人是塔綠班？？？,2021/09/01,03:18:26,https://www.ptt.cc/bbs/Gossiping/M.1630466308.A.A69.html,puncher,Gossiping,77,39,5,"安安大家好
看到大家最近好像很愛塔綠班
在八卦板洗的很開心
但是現實世界中好像都沒聽過有人說過

如果家人朋友同事主管是塔綠班
你各位真的會當面直接說他們是塔綠班嗎

沒上ptt的人聽到塔綠班會有什麼反應
有沒有八卦？？？
"
Re:[新聞]18到22歲可優先預約打BNT　大學生歡呼,2021/09/01,03:18:59,https://www.ptt.cc/bbs/Gossiping/M.1630466341.A.8AA.html,mamaes,Gossiping,12,3,1,"^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

看這句就知道，你們搞錯重點了，蔡英文政府的目標本來就不是學生，不要忘了，

18~22歲的又不一定是學生，而這批被判定可以先打的約有80萬人，蔡英文政府又是

用什麼當標準去判定的?下面這段就告訴你了。
^^^^^^^^^^^^^
各位認為是什麼活動?
現在發這種新聞，我自己認為齁，就是想把上班族的仇恨轉到大學生上啦，

可憐喔，現在不少大學生都還是忠誠綠共黨員，就這樣輸給18~22歲的8+9塔綠班，

被蔡英文政府當韭菜收割了。"
[問卦]大學生開始挺果凍,2021/09/01,03:25:50,https://www.ptt.cc/bbs/Gossiping/M.1630466754.A.E7A.html,nownow,Gossiping,148,46,18,"認識好幾個大學生
沒有感謝塔綠班

反而支持起果凍
說打到疫苗下次投果凍

是不是  打錯如意算盤了

原本果凍最不受歡迎的族群
現在轉向了
"
Re:[問卦]塔綠班的笑點在哪,2021/09/01,03:37:19,https://www.ptt.cc/bbs/Gossiping/M.1630467441.A.8EF.html,traman,Gossiping,18,6,1,"三個字 新鮮感

雖然一樣的笑話 聽一百次就不好笑

就算博恩呱吉也一樣

但塔綠班的笑話仍有相當大的創作空間

等舊瓶了 還能裝上新酒 又是新鮮的笑點


再說了 不好笑又怎樣

喜韓兒有笑點 但有點良知的人笑得出來嗎

4%好笑嗎 純粹侮辱性而已

為什麼要塔緑班一定要強調笑點呢





"
