text,negative,positive,type
95 of Pak who are celebrating the success of the Taliban will never support the Taliban government in Pakistan I think this is the highest level of hypocrisy SanctionPakistan AFG ISI Kabulairport BBNaija NNT ani BB23 AntiStateExposed ISI BREAKING Balochistan,1,2,positive
A daring and brave rescue for Afghan people by UAE and Israel UAE Israel Kabul Afghanistan,0,1,positive
A demonstration has taken place in Kabul by women deemed supportive of the Talibans ultrahardline interpretation of Islam Images of that rally have sparked considerable reaction on social media AfghanistanCulture HaxieMB tells WHilderBrandt more in AccessAsia,0,1,positive
A graceful Turkish Woman prefer to stay in Afghanistan under Talibans rule rather going back to Turkey  when some native Afghan desperately left Kabul for Western Countries,0,2,positive
A great fall Patriot Patriotismo Kabul Afghanistan kabulfall LeadershipMatters fallofkabul enemies EnemyOfThePeople humanity chaos nation Patriots rajivranjanin future,1,3,positive
A message by a brave Afghan girl to the westernised Afghan women It translates Those women who want democracy are not our representatives AfghanistanCulture taliban AfghanWomen IslamicEmirateAfghanistan kabul WomensRights NCOC,0,1,positive
A mural on a wall in Kabul Lets forget the past and try to build our future A very good message for all of us Afghanistan,0,1,positive
A normal day in Kabul This is how I used to dress back in Kabul 90 of girls dress up like this not that big Afghani cloths or that black Talibani cover that I dont whats that called Whatever you say or show make it real,0,1,positive
A number of Afghan women rallied in support of the Taliban on Wednesday morning in Zaranj the capital of Nimroz province Afghanistan Talibans Kabul,0,1,positive
A thread worth reading Kabul,0,1,positive
A top taliban commander head of Kandahar security taking short sleep after prayer in courtyard of local mosque Afganistan Taliban Kabul,0,1,positive
AFG Afghanistan foreign minister had press briefing today in Kabul The minister thanked international community for their humanitarian assistance announced by various countries which is over 1 billion,0,1,positive
AFP Qatar warns it may stop running Kabul airport if no clear agreement with Taliban,0,1,positive
AFP Qatar warns it may stop running Kabul airport if no clear agreement with Taliban AkhbarAlYawm,0,1,positive
AbbasFazal addicted WailaHu FaisalJavedKhan fawadchaudhry TPhead darensammy88 Pakistan will prosper after its victory in GhazwaeHind and will lead the establishment of true Islam in the world PAKvNZ shameonblackcaps New Zealand Taliban Afghanistan Kabul PakistanZindabad Learn why MuhammadQasimDreams are coming true,1,2,positive
AbbasFazal fawadchaudhry Pakistan will prosper after its victory in Ghazwa e Hind and will lead the establishment of true Islam in the world PAKvNZ shameonblackcaps New Zealand Taliban Afghanistan Kabul Learn why MuhammadQasimDreams are coming true,0,2,positive
Absolute heros As a former Army Social Work Officer I hope they receive CISM services as well as medals Kabul USMC,0,3,positive
Absolutely right Sir SriLanka MetGala2021 BBNajia BBNajia6 NamjoonDay cryptocurrencies BiggBossOTT quotes Taliban onstorm AMC Airdrops JEEMain Kabul RajKundra HBDThanthaiPeriyar HappyBirthdayModiji LIVACM ENHYPEN bb23 PAKvNZ VaccinationDrive,0,1,positive
AbuShirzad History repeats I am sure its khorasnanis from panjshir firing rockets to Kabul Just like old Masood did in the 90s Like father like sun Panjsher Kabul FreeAfghanistan Afghanistan,0,3,positive
Acting foreign minister Amir Khan Muttaqi at a press conference in Kabul expressed appreciation to the countries that pledged humanitarian support to Afghanistan and said that IEA will coordinate with them Afganistan Taliban,0,1,positive
Activist Netham Abu Ramouz all Palestinians are banned from their own alAqsa Mosque while israelis are given free unhindered access Follow me and Retweet Afghanistan Taliban Kabul,0,1,positive
AdityaRajKaul narendramodi Pakistan will prosper after its victory in GhazwaeHind and will lead the establishment of true Islam in the world PAKvNZ shameonblackcaps New Zealand Taliban Afghanistan Kabul PakistanZindabad Learn why MuhammadQasimDreams are coming true,0,2,positive
Adnanmughal43 Syed Ali Geelani didnt see the victory of Kashmir By the grace of Allahsoon ImamMahdi will be free Kashmir before GhazwaEHind PTIPetrolBomb FreeAfghanistan FreedomForKashmir PMIKAtSCOSummit Kabul Taliban Afghanistan Haqqani,0,2,positive
Afganistan have a laugh If Cristiano broke his leg kicking JLo s ass total amount of insurance would exceed annual budget of pakistan Right ImranKhanPTI SanctionPakistan Kabul afghanmusic afghangirl afghanculture Afghanistan TalibanIslamistTerrorBack Taliban,1,2,positive
Afghan Central Bank Seizes 124 Million in Gold and Cash from exOfficials Click to link for more details  raahtv waronterror afghanwar afghanistan kabul taliban thetaliban afghaneconomy worldbank imf predatoryloans predatorylending,0,1,positive
Afghan Female Orchestras Escape Halted 100 Yards From Freedom via WSJ benoitfaucon mgordonwsj Afghanistan taliban Kabul orchestra ZohraOrchestra,0,1,positive
Afghan Foreign Minister Maulvi Amir Khan Muttaqi called on UN High Commissioner for Refugees SecretaryGeneral Filippo Grande and his accompanying delegation at the Foreign Office Kabul,0,1,positive
Afghan airport staff works at security check at Hamid Karzai International Airport in Kabul Afghanistan 13 September 2021 epa   epaphotos visualizingtheworld Taliban,0,1,positive
Afghan news media TOLOnews ArianaNews Kabulcentric promoting cnn bbc talking points This expert today was urging the uneducated taliban to go back to their village mosques and inviting people like him to govern Afghanistan,0,1,positive
Afghan origin Indian national Bansri Lal Arendeh was abducted from Kabul yesterday while on his way to his shop May god protect him Afghanishtan Kabul,0,1,positive
Afghan warlord Ismail Khan supported the Panjshir resistance against the Afghan Taliban Youtube link  Taliban Afghanistan Kabul NATO AshrafGhani NorthernAlliance PanjshirValley Panjishir PANJSHIR PanjshirResistance AhmadMassoud AmrullahSaleh,0,1,positive
Afghanistan A Huge Gathering was held for Poetry in honor of independence and for Support of New Islamic Government in Province Uruzgan last evening NaqNab Taliban Kabul Afganistan Talibans Panjshir Afganisthan AfganWomen AfganistanWomen Afganistandebat,0,2,positive
Afghanistan Afghanwomen are fighting Taliban rule and slam Pakistan for supporting Taliban PakistanIsTaliban Panjshir PanjshirValley AhmadMassoud Section377 AmrullahSaleh TalibanTerror StandWithPanjshir NationalUprising Kabul Kabulairport FreeAfghanistan,0,1,positive
Afghanistan I m not from Afghanistan but I will always stand for you and freeafghanistan Keep safe in your fight for peace and freedom Kabul AhmadMassoud panshir panshirValley Taliban,0,2,positive
Afghanistan UNESCO AAzoulay elounasso UN antonioguterres International community should protect Afghan culturalHeritage In recent years many items were rapatriatedKabul Museum  80000 artifactsNew technologies facilitates tracing,0,1,positive
Afghanistan enjoyed observer status at the Shanghai Cooperation Organization before the Taliban returned to power The new interim government is not attending the Dushanbe summit The conference comes one month after the Taliban seized Kabul,0,1,positive
Afghanistan is free if Afghans ignore lies that they are not free Nobody can controle people with no fucking law Its impossible Resistance against something that is impossible to make it work is dumb and practically on the way of real freedom  Freedom to ignore Kabul,3,5,positive
AfghanistanCrisis Afghan Women on the Lives They Left Behind AfghanLivesMatter AfghanRefugees AfghanWomen AfghanistanBurning HumanRights KabulHasFallen Afghanistan Biden Progressives Dems Progressive Kabul Dem AfghanistanWomen IARTG FBR,0,2,positive
AfghanistanWe want our human rights These Afghan women protested in Kabul to call for the protection of their rights under Taliban rule,1,3,positive
Afghanistans Kam Air Eager to Resume Islamabad Operations in Kabul Read More HERE KamairRQ aviation afghanistan aviationnews kabul kabulairport aviationdaily kamair commercial islamabad AfghanistanCrisis,0,5,positive
After Kabul was taken over by the Taliban on August 19 a senior Taliban official clearly stated that the Taliban does not accept Wahhabism which means that AlQaedas religious claims will no longer be supported by the Taliban Afghanistan,0,1,positive
After September 11 2001 the FBI put up a 5 million reward for Haqqani al Qaidas ally Biden should collect it after all Biden located HaqqaniXhes now Afghanistans new Interior Minister GREG PALAST Kabul r4today,0,1,positive
After resounding defeat in Afghanistan the US now resorts to warmongering about China and Taiwan  How to Deter China From Invading Taiwan robertcobrien China Taiwan warfare USA military Afghanistan war Kabul,1,2,positive
After the escape of AshrafGhani the liberal pashtuns r now showing thier real face There is no religious or liberal pashtun they are only pashtuns Everyone of them r in the favour of massacre of nonpashtuns One n only solution DivideAfghanistan Kabul NoToTaliban,0,1,positive
Ahmad Shah Masood a Leader Like no Other Panjshir PanjshirValley AhmadMassoud Section377 AmrullahSaleh Taliban Afghanistan TalibanTerror StandWithPanjshir SavePanjshir NationalUprising Kabul Kabulairport FreeAfghanistan,0,2,positive
Ahmadmassoud123 Good Morning Kabul Flowers always make people better happier and more helpful they are sunshine food and medicine to the soul VLuther Burbank  MIbrahimkhail,0,3,positive
Ahmadridismo shoaib100mph Pakistan will prosper after its victory in GhazwaeHind and will lead the establishment of true Islam in the world PAKvNZ shameonblackcaps New Zealand Taliban Afghanistan Kabul PakistanZindabad Learn why MuhammadQasimDreams are coming true,0,2,positive
AhsanAliButt JoinTeamGumnaam UN Syed Ali Geelani didnt see the victory of Kashmir By the grace of Allahsoon ImamMahdi will be free Kashmir before GhazwaEHind PTIPetrolBomb FreeAfghanistan FreedomForKashmir PMIKAtSCOSummit Kabul Taliban Afghanistan Haqqani,0,2,positive
Aid airplanes operated by the World Food Programme have been transporting essential goods and humanitarian workers into Kabul with footage showing one such flight on Sunday September 12 Afghanistan WFP Taliban,0,2,positive
AkbarMohmand2 Fight the good fight my brother Nothing great is easily accomplished STANDWITHPANJSHIR NRF NAF2 RESISTANCE2 KABUL FahimDashty AmrullahSaleh Panjsher LionsOfPanjshir ahmadmassoud01 Panjshir Afghanistan NationalUprising StopPanjshirGenocide,0,3,positive
AkbarMohmand2 I dont understand you How can you join a movement like khorasaniMasoodians who are against the name Afghanistan and our flag  KhorasaniMasoodians and Taliban are brothers terrorists created by Pakistan Afghanistan Kabul panshirValley FreeAfghanistan,0,1,positive
AlKhair Foundation is distributing emergency aid in Afghanistan to IDP Families Your donations means a lot for their survival Keep supporting the work by visiting humanity emergencyresponse Afghanistan crisis crisissupport Kabul ASEAN,0,2,positive
Alhamdulilah They say 7 but in reality 18 Pakistan Kafir soldiers working for Corrupt govt were eliminated today in South Waziristan Thank You to our Afghan Taliban brothers Pakistani Muslims for continued support PTIPetrolBomb Haqqani Afghanistan Kabul,1,3,positive
All is not well within Talibans ranks Leaders argued over interim government Brawl between Bradar Haqqani factors Arguments happened at president palace in Kabul Bradar exchanged strong words with Khalil Haqani Bradar is not happy with the new interim government,0,2,positive
An Afghan sniper who worked alongside British special forces was shot multiple times in front of his family and executed by the Taliban in Kabul Afghanistan,0,1,positive
Anxietypatient UN JoinTeamGumnaam Syed Ali Geelani didnt see the victory of Kashmir By the grace of Allahsoon ImamMahdi will be free Kashmir before GhazwaEHind PTIPetrolBomb FreeAfghanistan FreedomForKashmir PMIKAtSCOSummit Kabul Taliban Afghanistan Haqqani,0,2,positive
Anyone who thinks DonaldTrump would be better about the Talibans just look at Putin All the Taliban needs to say Trump can build in Kabul and Trump will be calling them our next great allies and calling Afghanwomen woke feminists who need to shut up AfghanistanCrisis,0,4,positive
Are Talibans changed In a muslim society the boundary of a house is very much respected but taliban are crossing it every second Afghanistan Kabul Panjshir Pakistan TalibanTerrorists NoToTaliban MetGala,0,1,positive
Armed robbers ridding a Toyota 4Runner car without number plate seized car of medical doctor robbed him of all his valuables including smart phone last night in Kabul City,0,1,positive
As per some leading news channels MullahBaradar has left Kabul and TalibanSplitWideOpen is creating chaos in TalibanGovernment,0,1,positive
Asia Afghanistan Kabul USEmbassy 15 September 2021 2307 To the People of Afghanistan in Kabul Free Speech in Afghanistan This wall is taken but all the other walls of the United States Embassy can be used for art graffiti posters and messages Write anything you want,0,1,positive
Available in 5 different colors White Ash Baby Blue Pictured Charity Pink and Canvas Red Sizes range from XS3X Price ranges from 1899  2399 kabul Afhganatan patriotic saytheirnamesjoe Remember13 QuakeClothingCo,0,1,positive
BBCWorld BBCWorld Another success of European diplomacy Afghanishtan Trump Biden USA Taliban TalibanTerror Afganistan Kabul KabulAiport Bruksela UE Borrell,0,2,positive
BBCWorld BBCWorld Joe Bodens Fruit Afghanistan is the second Vietnam Afghanishtan Trump Biden USA Taliban TalibanTerror Afganistan Kabul KabulAiport,0,1,positive
BBCYaldaHakim AmbJohnBolton Good Morning Kabul Flowers always make people better happier and more helpful they are sunshine food and medicine to the soul VLuther Burbank  MIbrahimkhail,0,3,positive
BLACKCAPS TheRealPCB Pakistan will prosper after its victory in GhazwaeHind and will lead the establishment of true Islam in the world PAKvNZ shameonblackcaps New Zealand Taliban Afghanistan Kabul Learn why MuhammadQasimDreams are coming true,0,2,positive
BMVgBundeswehr In an interview with soldiers of evacuation KabulFederal President Steinmeier emphasises that they have achieved great things and experienced terrible thingsAnyone who has been to airport will have to struggle with it for a long time to comeOur country is indebted,0,1,positive
BMVgBundeswehr More than 120000 people in need of protection were able to meet with international partners Kabul be flown out  the German forces saved more than 5300 The Bundeswehr has once again shown that it can do what is required of it  Federal President Steinmeier emphasized this,0,1,positive
Badri313forces Ah the love of the people Such love Talibans Kabul Panjshir Herat Kunduz MazareSharif,0,2,positive
BeckyCNN ImranKhanPTI POTUS SecBlinken Why Pakistan celebrated Taliban illegal military takeover of Kabul Why Pakistans media and mullah calling Taliban as freedom fighters Why Pakistan FM sartaj Aziz said Taliban lives in Pakistan with their families Why Pakistan army special squads fighting in Panjshir,0,1,positive
BhittaniKhannnn BLACKCAPS Pakistan will prosper after its victory in Ghazwa e Hind and will lead the establishment of true Islam in the world PAKvNZ shameonblackcaps New Zealand Taliban Afghanistan Kabul Learn why MuhammadQasimDreams are coming true,0,2,positive
Biden has to show to Americans that he is a tough POTUS after Kabul as his polls dropped drastically So he chooses to empower Australia with nuclear subs against NNPT in a bid to contain MFAChinaHow rational is this Even BarackObama droned kids in his quest to look tough,1,2,positive
Biometric data of NDS MOI and MOD is in the hands of ISI and they are searching door to door to find the people on their list Where is the human right now Where is UN now to raise their voice about cruelty Afghanistan kabul unafghanistan UNHumanRights SanctionPakistan,0,1,positive
BowenBBC Keep safe We want the good reports but not at the expense of the safety of your you and your team safe BBC Kabul,0,3,positive
Bread line Burqaclad women wait for free bread in front of a bakery in Kabul on September 16 AFP,0,1,positive
BreakingNews Herat Police Chief Maulvi Ansari led the operation and rescued the child from the clutches of the kidnappers  Watch complete video Link Afghanistan Kabul Kashmir,0,1,positive
BreitbartNews BreitbartNews Joe Bodens Fruit Afghanistan is the second Vietnam Afghanishtan Trump Biden USA Taliban TalibanTerror Afganistan Kabul KabulAiport,0,1,positive
Bringing you the mesmerizing night view of Kabul  The capital of Afghanistan  May these lights brighten the future of Afghanistan and its courageous people,0,1,positive
CBSNews Such a heartfelt moment full of both grief and reassurance seeing their loved ones Were glad to see these children safely reunited with family and our hearts go out to all who will forever mourn the impact of the KabulAirport bombings in Afghanistan,3,4,positive
CNN Americans that went to Afganistan on their own or working for a USA contractor Get out on your own Americans are in Kabul that want to be and the Republican party are profiteers like Hannity making lots of cash or TuckerCarlson hes the guy a liberal wearing bow ties,0,2,positive
CNN CNN Joe Bodens Fruit Afghanistan is the second Vietnam Afghanishtan Trump Biden USA Taliban TalibanTerror Afganistan Kabul KabulAiport,0,1,positive
Chalbay Pakistan will prosper after its victory in GhazwaeHind and will lead the establishment of true Islam in the world PAKvNZ shameonblackcaps New Zealand Taliban Afghanistan Kabul PakistanZindabad Learn why MuhammadQasimDreams are coming true,0,2,positive
China is negotiating with the Taliban to take over the huge American Air Force base near Kabul JoeBiden left behind 83 billion worth of American technology which China can reverse engineer Now the Democrats want to raise taxes even more,0,1,positive
China occupies Kabul right now in less than two weeks China will occupy our former embassy in Afghanistan afghanistan china kabul fallofkabul,0,1,positive
China sent its best spies to Kabul to teach the Taliban something it knows how to do well intercept phone calls monitor internet use and socialmedia accounts to help them snoop on Afghan civilians and prevent revolts against their iron rule,1,2,positive
ChinaExposed It is important that Bangladesh decides on how or whether at all it will engage with the Taliban government in Kabul which has already gained legitimacy from Pakistan China and Russia notes SohiniBose13,0,1,positive
Chinas ambassador to UK Zheng Zeguang has been banned from British parliament because Beijing imposed sanctions on legislators after they spoke out against alleged human rights abuses directed at minority Uighurs in Xinjiang IsraeliCrimes Taliban USA Pakistan Kabul ISIS,0,1,positive
Chinese Amb in Kabul Wang Yu appreciated the efforts of the Afghan side to ensure the safety of Chinese citizens He said China respects the sovereignty independence and territorial integrity of Afghanistan and supports the Afghan people to choose their own development path,0,2,positive
Chinese President Xi Jinping said the Shanghai Cooperation Organisation member states should facilitate a smooth transition in Afghanistan and encourage Kabul to install a broadbased and inclusive government spatranobis reports,0,1,positive
Chinese President XiJinping said the Shanghai Cooperation Organisation member states should facilitate a smooth transition in Afghanistan and encourage Kabul to install a broadbased and inclusive government SCOSummit SCOSummit2021 AfghanWomen Taliban,0,1,positive
ChrisMurphyCT Withdrawing from Afghanistan so hurriedly while pulling the rug from Kabuls feet dissolving 90 of our intel network or basing rights in close proximity to Afghanistan has serious implications You cant have your cake eat it too,0,1,positive
Class is in progress at Peshawar University in 1990s Pakistan Afghanistan Taliban Kabul,0,1,positive
Combined Teams Working to Reestablish Kabul Airport Operations  TOLO News,0,1,positive
Commendable initiative  Afghanistans foreign minister Ameer Khan Mutaqqi urged Afghan Refugees to return home from neighboring countries Pakistan Iran etc With the return of Afghan refugees Afghanistan will move towards a real development prosperity Kabul Taliban,0,2,positive
Congratulations Brigadier Arlt was awarded the Order of Merit of the Federal Republic of Germany today for leading the evacuation operation in Kabul The Federal President also announced that service medals would be awarded to all soldiers who were involved in the evacuation,0,4,positive
Consultations are underway to form a disciplined and strong army in near future said Faassihuddin Talibans chief of army staff in a gathering held today in the capital Kabul,0,1,positive
Could Washington Support Balochistan Independence Pakistans turn toward China and support for Taliban in Afghanistan could lead US to support Balochistan separatism BalochistanIsNotPakistan FreeAfghanistan DoNotRecognizeTaliban Kabulairport BBNaija ani,0,4,positive
Could Washington Support Balochistan Independence Pakistans turn toward China and support for Taliban in Afghanistan could lead US to support Balochistan separatism BalochistanIsNotPakistan FreeAfghanistan GotARMYBehindUs Sita Trending Kabul ElonMusk,0,4,positive
Create safe passages from Afghanistan Kabul Taliban  Sign the Petition,0,4,positive
CreeyJoe Make Taliban Great Again billboard over I83 in York County USA Afghanistan Kabul Panjshir Pakistan,0,1,positive
Dear FBI just heard you offering a reward of 10 million for information leading to the arrest of SirajuddinHaqqani He is in kabul right now and acting as interior minister of Islamic Emirates of Taliban since you left My credit card no 6104337919038297,0,3,positive
Dissent in the name of women rights human rights and freedom of expression will be suppressed with no mercyChief of Staff of the Taliban Mawlawi Fassih alDin Kabul Afghanistan,2,3,positive
Do you feel safer that from a terrorist nation that refugees with no background info on them are being led into the United States as Americans are now hostages  Biden BlinkenHearing Afghanistan Kabul blinken fubar wednesdaythoughts,0,1,positive
Dogs Abandoned During Kabul Evacuation Now Working for Kabul Airport Security READ AfghanWithdrawal Afghanistan kabulairport dog,0,1,positive
Doha has become a key broker in Afghanistan following last months withdrawal of US forces helping evacuate thousands of foreigners and Afghans engaging the new Taliban rulers and supporting operations at Kabul airport  AFP,0,1,positive
Dohas condition of 100 clarity in a deal on an asset as significant as the KabulAirport is financially sound how many complications could potentially arise from confusion over whether the UNs Afghanistan Donor Conference is a success or a failure,0,1,positive
Dozens of dogs were found at the Kabul International Airport following the evacuation of US troops There was speculation that these dogs were military working dogs but the Pentagon denies those claims Reports ShamshadNews Dogs Airport Kabul Afghanistan,0,1,positive
Dozens of dogs were found at the Kabul International Airport following the evacuation of US troops There was speculation that these dogs were military working dogs but the Pentagon denies those claims Reports ShamshadNews Dogs Airport Kabul Afghanistan Afganistan,0,1,positive
DrFarwa6745 Pakistan will prosper after its victory in GhazwaeHind and will lead the establishment of true Islam in the world PAKvNZ shameonblackcaps New Zealand Taliban Afghanistan Kabul PakistanZindabad Learn why MuhammadQasimDreams are coming true,0,2,positive
DrSamirBawar DrOmarZakhilwal Good Morning Kabul Flowers always make people better happier and more helpful they are sunshine food and medicine to the soul VLuther Burbank  MIbrahimkhail,0,3,positive
DuchessofCambridge meets Kabul evacuation heroes and praises incredible Britishtroops behind biggest airlift in decades on visit to RAFBrizeNorton yesterday She always looks nice,0,2,positive
During his visit to Kabul FilippoGrandi met with the interim Afghan government as well as some of the hundreds of UN and NGO staff that have stayed on the ground and maintained operations despite the challenging circumstances,0,1,positive
Dusty is Joses beloved dog who was to travel from Afghanistan with other KSAR dogs but was released at Kabul Airport Please can you keep an eye out alongside KSARs great work and help them reunite NoPawsLeftBehind OperationHercules Kabul KabulAirport dogsarefamily,1,2,positive
ESPNcricinfo Pakistan will prosper after its victory in Ghazwa e Hind and will lead the establishment of true Islam in the world PAKvNZ shameonblackcaps New Zealand Taliban Afghanistan Kabul Learn why MuhammadQasimDreams are coming true,0,6,positive
Earlier Qatars FM Sheikh Mohammed bin Abdulrahman Al Thani said his country cannot take responsibility for the Kabul airports operations if all issues are not clearly addressed including with Taliban Right now the status is still under negotiationhe said,0,1,positive
Education is an important investment in any country and one of its main benefits is poverty reduction Afghanistan Kabul AfghanYouth,0,1,positive
EifiFinance 0xCE9e33ed38D1612cDBAA963e3640EDBF82d19dEB EIFIFinance is a awesome platform with great ideas and moonshot FindGabby Kabul,0,1,positive
Enjoying Old Kabul Bird street afganistan Afghanistan kabul birdstreet,0,1,positive
Excellent pic taken in Cernobbio2021 at the 47th edition of the Forum by the leading european think tank The European House Ambrosetti kabul airport evacuation has been the largest airplane evacuation ever done in history,1,2,positive
Exclusive  If this was India Human rights activists would start shouting but Its Afghanistan No Single Activist or Country has dare to raise their voice against Taliban Afghan Afghanistan Kabul USA Pakistan Pashtun PanjshirValley PANJSHIR PanjshirResistance,0,1,positive
Exclusive Rare image of Sarajuddin Haqani leader of the Haqani network and Talibans interior minister US Department of State is offering a reward of up to 10 million for information leading directly to the arrest of Sirajuddin HaqqaniKabul Afghanistan,0,2,positive
Fabien Baussart in a blog post in The Times of Israel said that with solid action in the form of pressures on Kabul and Islamabad authorities should work to resolve it and not try to suppress it,1,2,positive
Fact that they didnt add India to this list of ISIS camps proves that these ISIS camps are 100 supported by the US government in India its deep pockets within JoeBiden POTUS s administration,0,1,positive
FahimiSediqa You were in Kabul  an elite minority How does your change of clothing relate to the majority of real AfghanWomen in the rural areas Life for them hasnt changedThose women never had a choice Doesnt look like you put up much of a resistance eitherThat Burqa came handy,0,1,positive
FaisalJavedKhan Pakistan will prosper after its victory in Ghazwa e Hind and will lead the establishment of true Islam in the world PAKvNZ shameonblackcaps New Zealand Taliban Afghanistan Kabul Learn why MuhammadQasimDreams are coming true,0,2,positive
FakharZamanLive Pakistan will prosper after its victory in Ghazwa e Hind and will lead the establishment of true Islam in the world PAKvNZ shameonblackcaps New Zealand Taliban Afghanistan Kabul Learn why MuhammadQasimDreams are coming true,0,2,positive
Fighters for freedom offering you freedom of speech that will be arranged how they want freedom  That also is not freedom  That is taking power to give someone his freedom that is not freedom Freedom is choice not someones gift you choose freedom Kabul Afganistan,0,8,positive
Finally DyPM Afghanistan Taliban MullahBaradar appeared on StateControlled TV rtapashto video clip mostly reading from a paper with gunman standing very close to his body NO reassuring smile on his face Under voluntary house arrest in KabulKandaharRawalpindi,0,2,positive
First Afghan woman to graduate in Kabul she dedicated her life to defending the rights of women in her country against fundamentalism afghanistan simasamar afghanwomen,0,1,positive
First humanitarian flight to Kabul enabling humanitarian responders and much needed relief items to reach people in Afghanistan,0,1,positive
First humanitarian flight to Kabul since Taliban takeover marks turning point in crisis The WFPled United Nations Humanitarian Air Service has resumed flights to Kabul enabling humanitarian responders and muchneeded relief items to reach Afghans,0,1,positive
First humanitarian flight to Kabul since the Taliban takeover marks a turning point in the crisis WFPUNHAS resumed flights to Kabul this week enabling humanitarian responders and muchneeded relief items to reach Afghans in multiple locations across the country,0,3,positive
First time our pm archive a great history BJP4India BJPITCellTS BJPSandeepSingh MetGala2021 WATCH YEONJUN VMAs BBNajia BBNajia6 NamjoonDay cryptocurrencies BiggBossOTT quotes Taliban AMC Airdrops JEEMain Kabul NZvsPAK SriLanka Pawanakalyan blackcaps,0,1,positive
For Some Afghanistan Outcome Affirms a Warning Beware the Blob Afghanistan JoeBiden Taliban Kabul Pentagon USForces Iraq Iran Turkey AlQaeda ISIS AfghanUlemaCouncil NATO SIGAR PeaceAgreement LloydAustin Evacuation Refugees,0,1,positive
For anyone in the NCR or Fairfax Co area who wishes to show their respect Afghanishtan Kabul Military Honor,0,2,positive
For your betting Website like Let talk Vietnam vn88 bettngwebsite BlockchainGaming cryptocurrencies Webdesign webdevelopment Kabul MUFC AdeyemiTech RetweeetPlease Like fiverr COVIDAB COVID19ireland,0,2,positive
Foreign Minister of Qatar AlThani We conducted technical work with Turkey in KabulAirport Negotiations over airports safety go on Isolating or boycotting Afghanistan over Talibans takeover is not a solution,0,1,positive
FoxNews FoxNews Joe Bodens Fruit Afghanistan is the second Vietnam Afghanishtan Trump Biden USA Taliban TalibanTerror Afganistan Kabul KabulAiport,0,2,positive
