text,negative,positive,type
AFG He added the plan was a safe transition of power to which Taliban had also agreed Based on plan Taliban would not have entered Kabul but ashrafghani escape from Kabul created panic among other officials,1,1,negative
AFG International media had reported former president ashrafghani has taken 169 million while fleeing Kabul few week ago Former president has denied the allegations,1,0,negative
AFG Reportedly several rockets landed in Khayer Khana northern neighborhood of Kabul city on Thursday evening There is no further details on possible casualties and damages,1,0,negative
AJEnglish I am so sad for these people Their lives have been flipped upside down Kabul,1,0,negative
AJEnglish ImamMahdi is staying in East Khorasan He is Muhammad Qasim Everybody should read hiss dreams Quran drzakiranaik AppleEvent BridgeLinx Pakistan Afghanistan Taliban Kashmir Kabul,3,0,negative
ANI ImamMahdi is staying in East Khorasan He is Muhammad Qasim Everybody should read hiss dreams Quran drzakiranaik AppleEvent Haqqani Pakistani Afghanistan Taliban Kashmir Kabul CNN,1,0,negative
ARYNEWSOFFICIAL is showing press conference of Afghan foreign minister LIVE from Kabul What the fuck is this,1,0,negative
ASimpson1985 Thousands of Kandahar people are on the roads a against Taliban These people were told to leave their homes so Taliban can bring their fighters in After that Kabul was fallen KDR is facing many problems but all the eyes are on Kabul not other provinces Afghanistan,2,0,negative
AajKamranKhan ImamMahdi is staying in East Khorasan He is Muhammad Qasim Everybody should read hiss dreams Quran drzakiranaik AppleEvent Haqqani Pakistan Afghanistan Taliban Kashmir Kabul,1,0,negative
AbdullahAhmadza saadmohseni Haqqani and 99 percent of the Taliban are One Tribe Pashtuns Mostly Taliban fighters loyalists for ISIPakistan According to ISI orders they are putting pressure on the Afghan people and destroying the knowledgeable of Pashtuns Afghanistan Pakistan Taliban Kabul,1,0,negative
AbhiNationalist ImamMahdi is staying in East Khorasan He is Muhammad Qasim Everybody should read hiss dreams Quran drzakiranaik AppleEvent Haqqani Pakistan Afghanistan Taliban Kashmir Kabul CNN,1,0,negative
AccessYoungboy ImamMahdi is staying in East Khorasan He is Muhammad Qasim Everybody should read hiss dreams Quran drzakiranaik AppleEvent BridgeLinx iPhone 13 Afghanistan Taliban Kashmir Kabul,1,0,negative
According to a Kabul based property dealer who is in the business for about 13 years housing rentals and have fallen by 50,1,0,negative
Acknowledging reports of the kidnapping of an Indian national from Afghanistans capital city Kabul the Indian govt said that they are in touch with all concerned,1,0,negative
AdityaRajKaul Afghanistan terror stories Pakistan accountable for WarCrimes of ISI TalibanTerrorists SaveGenocide NationalUprisingAgainstTaliban PanjshirGenocide Kabul POTUS VP NATO EUCommission UNHRC UN EmmanuelMacron RedCross Support AmrullahSaleh2 AhmadMassoud01,1,1,negative
Afganisthan is facing a fast humanitarian disaster They need urgent funding no sanctions that will cut financial transfers Donors are sitting on the fence because of the new authorities Kabul war calxandr saadmohseni HabibKhanT,1,1,negative
Afghan economy in despair following Taliban takeover Taliban Afghanistan TalibanTerror AfghanEconomy TalibanTakeover AfghanistansCapital IslamicEmirateofAfghanistan Kabul Kabulairport FreeAfghanistan,1,0,negative
Afghan girls football team flees to Pakistan More than 75 people will seek political asylum amid concern over the status of female athletes in Kabul Read more,2,0,negative
Afghan man of Indian origin missing in Kabul MEA india says monitoring situation,1,0,negative
Afghan nationals protest against Pakistan and the Taliban takeover of Afghanistan in New Delhi India Tuesday Sept 14 2021 instagram newdelhi india gettyreportage gettyimages india taliban afghanistan afghan kabul pakistan,1,0,negative
Afghan president Ashraf Ghanis decision to flee the country scuppered a lastminute deal with the Taliban designed to keep Kabul out of the Islamists hands the US diplomat in charge of talks with the Taliban has said FT Diplomacy140,1,0,negative
Afghan refugees grateful to settle into bright future in Calgary News World AfghanRefugees Afghanistan CalgaryCatholicImmigrationSociety CalgaryRefugees Ccis Kabul RefugeesFromAfghanistan RefugeesToCanada Taliban TalibanAfghanistan,1,1,negative
Afghan women protest Talibans hijab diktat Afghanistan Kabul TalibanTakeover diktat hijabdiktat Read More ,1,0,negative
Afghan women protest Talibans hijab diktat by sharing photos in colourful dresses Taliban Afghan NewDelhi Afghanwomenprotest colourfuldresses kabul afghanistan womeninafghan,1,0,negative
AfghanBurns In Afghanistan its not only abrupt US withdrawal but no resistance by well equipped Afghan army sudden advancement of Talibans street deaths and the overcrowding of the Kabul airport all r shocking China smiles,3,2,negative
AfghanFemaleFootballTeam have arrived in Pakistan yesterday after being allowed entry their purpose is refuge and the final destination is unknown they can stay back in Pak or head to a third country May these girls find solace wherever the go peace AfghanWomen Kabul,1,0,negative
AfghanLivesMatter In Afghanistan its not only abrupt US withdrawal but no resistance by well equipped Afghan army sudden advancement of Talibans street deaths and the overcrowding of the Kabul airport all r shocking,6,2,negative
AfghanUpdates Kashmir Kashmiris not dependent on Armed Gangs Armed Gangs for decades engaged in mass murder of Afghans People of Kashmir are not suicide bombers nor are they Gun toting Power Hungary beasts Afghanistan Kabul PanjshirValley Panjshir PANJSHIR,1,0,negative
AfghanUpdates Keep targeting Afghans yr Political opponents with dirt At the End of Day you are nothing more than Clowns with begging bowl in Service of Foreign Powers U the Gun toting Taliban have murdered 10s of 000s of Afghan Muslims Kabul Panjshir PanjshirValley Tajikistan,3,0,negative
Afghanistan  12 million seized from exofficials amidst cash crunch Talibans Baradar denies being hurt in internal clash and more Follow latest updates here Taliban MullahBaradar Kabul,2,0,negative
Afghanistan  Taliban now incharge of the PuleCharkhi Prison on Kabuls eastern outskirts After capturing the city they freed all the inmates and government guards fled,1,1,negative
Afghanistan  The Taliban is carrying out reprisal attacks against former soldiers and government workers the UN has been told A video has emerged that shows the groups fighters forcing young men into car boots in the capital Kabul Video  Twitter  MuslimShirzad,1,0,negative
Afghanistan  The Taliban is carrying out reprisal attacks against former soldiers and government workers the UN has been told as video emerged showing the groups fighters forcing young men into car boots in the capital Kabul More ,1,0,negative
Afghanistan According to the guardian an Afghan sniper a British special forces collaborator has been executed by the Taliban in Kabul This is reported by a former British Army colonel As feared unevacuated collaborators are now being persecuted UK,1,0,negative
Afghanistan Afghani media Unidentified rockets fell on Kabul,1,0,negative
Afghanistan Another rocket attack was carried out in North of Kabul City allegedly at least three rockets were fired A rocket which landed in Chemtala shows that the attack was possibly carried out with PG7V pattern projectiles  AbdulMateenImr1,2,0,negative
Afghanistan Another rocket attack was carried out in North of Kabul City allegedly at least three rockets were fired A rocket which landed in Chemtala shows that the attack was possibly carried out with PG7V pattern projectiles Camera AbdulMateenImr1,2,0,negative
Afghanistan CONTENTS FORBIDDENS While the Taliban government says it wants to build good diplomatic relations with the international community the Taliban continue to carry out acts of violence and summary executions in Kabul and other cities across the country,1,1,negative
Afghanistan Citizens Fearful as Ministry of Virtue and Vice Returns afghanistan taliban islam kabul,2,0,negative
Afghanistan Deserted USArmy camp at the Kabul airport,1,0,negative
Afghanistan Ethnic Cleansing American Taliban desperate to prove their deadly credentials of ethnic cleansing mass murder Do Taliban under estimate the Resolve of Int Community to annihilate the beasts  PanjshirValley PANJSHIR Bruxelles Kabul Moscow China,1,0,negative
Afghanistan It seems that at least one of the rockets Which are usually 107mm when used by ISK which is very much the main suspect here fired at the Chamtalah substation in PD11 Kabul were actually RPG projectiles this shows the remains of a expended PG7 or similar,1,0,negative
Afghanistan Kabul Biden TalibanTerror Please retweet Thank you ALL proceeds will go to my Interpreters Afghan Evac Fundraiser,1,1,negative
Afghanistan Kabul Of course those crying foul the loudest are saying Biden lied that the Admin is misleading that Secretary of State should resign on on,3,0,negative
Afghanistan Kabul US China Taliban USA america taliban LifeUnderTaliban Ashraf Ghani government wowan un safe with rape and woman sex scandal in the last afghan government women rights were being broken and now people are making fun of the current afghani rules,3,3,negative
Afghanistan Kabul USA One can feel the sadness of this picture How many others like him are there not only in Afghanistan but all countries that have been invaded by USA allies in their crusade war OF terror syria Iraq Libya,2,1,negative
Afghanistan Post UC Reports of Unknown Rockets Strike N Kabul AhmadQasani Khair Khana Several explosions in north of Kabul 1h ago Purposenature of explosions unknown Locals confirm incident Several rockets fired at Chamtaleh substation Damagecasualties not available,5,0,negative
Afghanistan Questions in Kabul as 2 top Taliban leaders missing from public view Two senior Taliban leaders have gone missing from public view leading some Afghans to question whether the groups supreme leader and new deputy prime minister are alive,2,2,negative
Afghanistan Several rockets fell in one of Kabuls districts say media reports Afghan media shares a video of the claimed attack No immediate casualty reported but properties of the local residents are damaged,3,0,negative
Afghanistan Several rockets fell in one of Kabuls districts say media reports Afghan media shares a video of the claimed attack No immediate casualty reported but properties of the local residents are damaged Kabul,3,0,negative
Afghanistan Several rockets have just hit Khair Khana in PD11 area Kabul Residents said that several rockets fired at the Chamtalah substation in Kabul,2,0,negative
Afghanistan Several rockets hit a power station in Kabul Afghanistan kabul AfganWomen afghanistan talibans PanjshirValley panjshiri,1,0,negative
Afghanistan Taliban Emir Hebatollah Akhundzadeh in Kandahar His planned entry in Kabul is delayed because of concerns over his security Sources,2,0,negative
Afghanistan Taliban govt is appealing to UNSC for recognition on humanitarian grounds Talibans already made life of AfghanWomen hell Now they forcing people of PanjshirValley to die by blocking supply line with help of Pakistan IsraeliCrimes Kabul IsraeliTerrorism,2,1,negative
Afghanistan Under siege of Terrorists Mass murderers have No Religion Mobsters claim to Leadership of Afghanistan as REAL as Jewish Claim to Sovereignty of Christian Islamic World Kabul PanjshirValley PANJSHIR Tehran IRGC Moscow China UN UNSC Tajikistan,2,0,negative
Afghanistan Womens football team arrived at Gadafi Sports complex in Lahore Pakistan after fleeing their country along with their families Afghanistan Taliban Kabul Pakistan,2,0,negative
Afghanistan decades of collective trauma ongoing humanitarian crises Mentalhealth Afghanistan Talibani Kabul,1,0,negative
Afghanistan fashion updates Taliban are swaggering in hippie cloths in Kabul and KimKardashian becomes one of ProTaliban girls fashinista,1,0,negative
Afghanistan is facing a major health crisis as several medical professionals flew off the country India causing suspension of trade Afghanistan Kabul Health WHO AfghanistanCrisis,1,0,negative
Afghanistan kandahar Yes enemys enemy is a friend but cash too makes bad enemy friend Tracing both rightTalibans have merged in Kabul for mutual benefit,2,2,negative
Afghanistan live updates Several rockets fell in Kabul district says report,2,0,negative
Afghanistan womens football team flees to Pakistan Afghanistan Taliban Kabul,1,0,negative
Afghanistan womens junior national soccer team crossed the border into Pakistan amid fears of a crackdown on womens rights by the Taliban Pakistan Taliban Kabul Afghanistan Afghans Football READ,1,1,negative
AfghanistanCrisis  The UnitedStates demolishes its CIA base war machines in Kabul as its last troops retreat from Afghanistan after an extraordinary mission that in reality proved to be a foreignpolicy fiasco John Cherian writes,3,0,negative
AfghanistanCrisis Kabul Picture presents two rivals in talks guarded by their own security But it isnt Image is from a recent cabinet meeting of new Afghan Gov where Haqqani Umari group has their own guards behind their leader A very volatile environment,1,0,negative
Afghanistans economy is in ruins despite hundreds of billions of dollars in development spending over the past 20 years World Kabul,1,0,negative
Afghans warn everyone in Kabul Theres a major search ongoing Taliban motherfuckers are going house to house in 346810 13 18 Hide pictures Cleanse social media Be safe Fuck Pakistan X CChristineFair Kabul NationalUprising NRF Lifeundertaliban AfghanWomen,1,1,negative
After Mullah Abdul Ghani Baradar Taliban leader Anas Haqqani also made an important statement on the news of differences in the Talibans leadership in which he termed the reports of differences as baseless Afghanistan Pakistan Kabul Afghanistandebat HijabIsObligatory,1,0,negative
After a harrowing journey out of Kabul Saraa 120 other evacuees Afghanistan 1112,1,0,negative
After the fall of Kabul Islamabad urged the Taliban to ensure that TTP does not use Afghan soil to launch attacks inside Pakistan Despite the Talibans assurance the TTP has already intensified its attacks on Pakistani troops asiab PakTerror,3,0,negative
After the fall of Kabul on August 15 2021 the DFRLab examined various extremist communication channels on telegram and WhatsApp frequented by militant groups operating in JammuAndKashmir to discover how they were reacting to developments in Afghanistan ,2,0,negative
After the fall of Kabul users in the chats amplified multiple professionally edited images and graphics that used the likeness and quotes by Taliban founder Mullah Omar to celebrate the militant groups takeover of the country,1,1,negative
After the horrific suicidebombing at the Kabul airport the international spotlight and scrutiny has suddenly shifted from the Taliban and its close ally AlQaeda to the shadowy terror group IslamicStateKhorasanProvince writes sushantsareen,3,0,negative
Agreement with Taliban on non entering Kabul for two weeks broke following fleeing of Ashraf Ghanni Zalmay Khalilzad Agreement Taliban Kabul broke AshrafGhanni ZalmayKhalilzad US4AfghanPeace,3,0,negative
Airstrikes kill 24 Houthis in Yemens Marib Airstrikes YemenMaribProvince GovernmentMilitarySource YemenGoverment Taliban Afghanistan TalibanTerror Kabul Kabulairport FreeAfghanistan,1,0,negative
Airstrikes killed more than 3340 civilians in Afghanistan between 2009 and the first nine months of 2020  acc to UNAMAnews Figures are scant after 2020 because officials feared such reports would interfere with the Afghan peace talks Kabul afternineeleven USdronestrikes,3,0,negative
Al Jazeera English Taliban broke promises on rights Outgoing Afghan envoy to UN kabul via GoogleNews,1,1,negative
Al Qaeda will launch an attack soon the United States said in a statement Afghanistan Kabul AfghanistanBurning,1,0,negative
AlArabiya As the criminal actions by ISIS in mosul Iraq by destroying hestorical castels and Gates in Nenwa wall nowadays Taliban destroy historical buildings Afganistan Kabul,2,0,negative
Alarming to learn about gunpoint abduction of Bansri Lal Arendeh 50 Yr Old Afghan hindu Indian Citizen in Kabul yesterday morningI request narendramodi ji DrSJaishankar ji AmitShah ji MEAIndia to intervene and assist the family at the highest level and rescue him,1,0,negative
Alcohol found in the house of Burhanuddin Rabbani an official of the former regime and a leader of the northern thugs He was the head of their Peace Council with Taliban Kabul Afghanistan,1,0,negative
AliWWE ImamMahdi is staying in East Khorasan He is Muhammad Qasim Everybody should read hiss dreams Quran drzakiranaik AppleEvent Haqqani Pakistani Afghanistan Taliban Kashmir Kabul CNN,1,0,negative
Alirezabhrmi ImamMahdi is staying in East Khorasan He is Muhammad Qasim Everybody should read hiss dreams Quran drzakiranaik AppleEvent Haqqani Pakistan Afghanistan Taliban Kashmir Kabul WhoIsMahdi,1,0,negative
Alisier SusanMateen TheHomira Time for talk protest is OVER ITS NOW TIME TO TAKE ACTION STANDWITHPANJSHIR NRF NAF2 RESISTANCE2 KABUL FahimDashty AmrullahSaleh Panjsher LionsOfPanjshir ahmadmassoud01 Panjshir Afghanistan NationalUprising StopPanjshirGenocide,1,0,negative
All Female Afghans fake accounts who were crying over Burqa see Kim Kardashian PanjshirValley Panjsher Kabul AfghanWomen,1,0,negative
All the efforts to destabilize Afghanistan after the disruptive withdrawal of America from Kabul has been stalled successfully ,2,1,negative
All the socalled NRF and ANA all these puppets were just bums in truth and the lowest of the society Honor and dignity is for these who dont sell their values short Try to learn 1 or 2 things from the Taliban about Honor and dignity Panjshir Afghanistan Kabul,2,2,negative
Allegations emerge that Tajiks are being roundedup in the night and moved to an unknown location Afghanistan Kabul Biden Congress senatehearing Panjshir Balkh UnitedNations BorisJohnson EU UN UNCHR,1,0,negative
AmanAttaM ImranKhanPTI ImamMahdi is staying in East Khorasan He is Muhammad Qasim Everybody should read hiss dreams Quran drzakiranaik AppleEvent Haqqani Pakistan Afghanistan Taliban Kashmir Kabul CNN,1,0,negative
American Aug 29 Dronestrike in Kabul targeted a car driven by Afghan aid worker prosecuted for murder they did same like Taliban,1,1,negative
American soldiers were killed by the Indian ISIS in the fatal Kabul attack Why is POTUS JoeBiden trying to cover the butt of Modi whose terrorsponsorship haemorrhaged blood of US citizens Why doesnt WhiteHouse care for lives of the American people,3,0,negative
Amin Wahidi is a Kabul born film director and journalist currently based in Milan In this interview he explains to readers how Ghanis bad governance led to the current crisis and how to change the situation Afghanistan womenrights,1,1,negative
Amrullah Saleh Crying Video Leak AmrullahSaleh Panjshir Afghanistan Kabul Kandahar,1,0,negative
Amrullah Saleh Crying Video Leak Kandahar Kabul Panjshir,1,0,negative
Amrullah Saleh crying after he lost 65 million wealth to Taliban Taliban have distributed his wealth to the poor Afghans who were living below poverty line since last 20 years Taliban Afghanistandebat Afghanishtan KaranvirSharma Kabul Panjshir PANJSHIR imrankhanPTI,2,0,negative
Amrullah Saleh crying over the death of his elder brother His brother was killed by Taliban in Panjshir AmrullahSaleh Taliban Kandahar Afganistan Talibans Kabul,2,0,negative
AmrullahSaleh posted a video while cryingNRF sources saying he was crying for loss of his brother Taliban saying his brother was killed earlier he is crying for 66m while i think he is playing victim card to control damage done to his resistance by66m dollars  Kabul,2,0,negative
AmrullahSaleh2 crying probably because of his brothers death Video has no sound AmrullahSaleh Panjshir PANJSHIR NorthernAlliance AhmadMassoud Afghanistan Afganisthan Kabul TalibanTakeover AhmadShahMassoud,1,0,negative
AmrullahSaleh2 crying probably because of the death of his brother Video has no sound AmrullahSaleh Panjshir Afghanistan Afganisthan Kabul AhmadShahMassoud The Taliban Talibans AhmadMassoud India,1,0,negative
An Afghan national breaks down during a protest against Pakistan and the Taliban takeover of Afghanistan in New Delhi India Thursday Sept 16 2021 JantarMantar newdelhi india gettyreportage gettyimages india taliban afghanistan afghan kabul pakistan,2,0,negative
An AfghanistanCommission in 2025 would show that by the time Afghan Pres fled it was too late to do anything for Kabul or Afghanistan AfghanDemocracy was sentenced to death in Doha at the TalibanTalks for 2 years The execution this year was even worse than the talks,1,0,negative
An unexpected viper nest going on over There ARGPresidentialOffice Kabul Missing MullahBaradar Afganisthan Trashcanistan Taliban,2,0,negative
An uprooted nation why every Afghan wants to leave hisher motherland What motivatesforces them to go away An eyewitness account of the Afghan society from Kabul TheTruthIntl KabulAirport Afghanistan Kabul Taliban Haqqani PMIKAtSCOSummit America Afghan,1,0,negative
An upset at the Palestinian Olympics Throw a petrol bomb and burn a tyre to cover their escape Iran Mossad Hamas IsraeliCrimes Gaza Afghanistan Taliban USA Talibans Panjshir Kabul ISIS Israeli,3,0,negative
Anas Haqqani came to the Serena today to say he is the foreign journalists friend and to urge the press to get out of Kabul and see the real Afghanistan Also denied any rift at the top and said the Taliban want the US and all other embassies to reopenmateensarwarr,1,1,negative
Anas Haqqani sits casually in a poolside room at Serena Hotel to woo over foreign correspondents The Haqqani network was responsible for some of d deadliest attacks on Serena including one that killed Sardar Ahmad an AFP reporter his wife 2 kids in 2014 Taliban Kabul,2,1,negative
And Im talking about addressing root causes instead of going full barbaric Kabul Afghanistan Crime,1,0,negative
And many of the KalashnikovWieldingReligiousExtremists in Kabul were actually M16WieldingReligiousExtremists because of all the US equipment left behind Fiasco WeakLeadership PoorDecisionMaking,1,0,negative
And now I was watching freshfaced boys falling off US airplanes taking off from kabulairport  babies being passed over barbed perimeter walls people covered in dust and blood stumbling over halfblown bodies of family members 5,2,0,negative
And the Terrosrists that call themseves the Taliban are showing themselves to be nothing more thieves and liars Now demanding that people in many areas of Afghanistan give up their possessions Kandahar Kabul Panjshir BS Thieves,2,0,negative
AngelStockler ImamMahdi is staying in East Khorasan He is Muhammad Qasim Everybody should read hiss dreams Quran drzakiranaik AppleEvent BridgeLinx Pakistan Afghanistan Taliban Kashmir Kabul,1,0,negative
Anger grows against Taliban in Afghanistan Panjshir PanjshirValley AhmadMassoud Section377 AmrullahSaleh Taliban Afghanistan TalibanTerror StandWithPanjshir SavePanjshir NationalUprising Kabul Kabulairport FreeAfghanistan DDNewslive,2,0,negative
Anger mounting on the streets of Kabul Panjshir PanjshirValley AhmadMassoud Section377 AmrullahSaleh Taliban Afghanistan TalibanTerror StandWithPanjshir SavePanjshir NationalUprising Kabul Kabulairport FreeAfghanistan BBCYaldaHakim,2,0,negative
AnisonII On India DelhiPolice first takes in Remand Torrture then Talks GabbyPetito FindGabby BREAKING GabbyPetitoMissing Babitaji TRON TonightVMTV Reshuffle ENHYPEN GirlsPlanet999 SonuSood DivyaAgarwal Reshuffle OzoneDay KimSeonHo Kabul DelhiRains MumbaiDiaries,1,0,negative
Another Afghan evacuee is revealed to be a felon Robber deported from US in 2017 is identified among arrivals after rapist was arrested in DC having caught a flight out ofKabul,1,0,negative
Another clip of the rocket attack in Kabul,1,0,negative
Another evidence to Talibans brutal assaults on women in Kabul Afghanistan,2,0,negative
Another type of hatred against minorities has been witnessed in Karachi when the religious extremists of TehreekeLabbaik have filed a case in the court to vacate a house because the people living there were Ahamdis Pathetic mindset SanctionPakistan pkmkb Kabul,1,0,negative
Another video now of the fire caused by rocket attack KhairKhana Afghanistan ISISK Kabul ISKP,1,0,negative
Another video shows Several rockets hit north of Kabul an hour ago the purpose and nature of these explosions are still unknown Afghanistan Taliban,2,0,negative
Apart from their external brutalities the Taliban are also facing internal friction Kabul Afghanistan Baradar,2,0,negative
