status_id,sentence,sentiment
1439702588157399041," RT @blackwomenviews : Tweeting this "" Black COVID - 19 Experts "" list again for those interested in following trustworthy leaders in the medical …",Neutral
1439702469039177730, RT @AlamedaCoFire : Did you know you can get a digital copy of your vaccine record ?,Neutral
1439702469039177730, Enter your information here https://t.co/4KLO4dBcr7 and …,Positive
1439700696824094720," RT @StanfordMed : Allergic reactions to the new mRNA - based COVID - 19 vaccines are rare , and according to a Stanford Medicine study , typically …",Positive
1439698826298859520," The COVID - 19 vaccine is our best shot , Arkansas , at reducing the spread of COVID in our community .",Positive
1439698826298859520, We encourage eve … https://t.co/tmcDEwYwS3,Neutral
1439697929585893376," RT @StanfordMed : Allergic reactions to the new mRNA - based COVID - 19 vaccines are rare , and according to a Stanford Medicine study , typically …",Positive
1439697807430979585, Fauci : ' Dramatic Data ' From Israel Support COVID - 19 Boosters https://t.co/W8h3cWwu2P,Neutral
1439697455390629893," RT @StanfordMed : Allergic reactions to the new mRNA - based COVID - 19 vaccines are rare , and according to a Stanford Medicine study , typically …",Positive
1439696053171806208," "" The #vaccine makers and their supply chains do n't give a rat 's behind ( 3 ) about your health .",Negative
1439696053171806208, They care about profit … https://t.co/ypopZ6iwfd,Neutral
1439695885143793668, Meet the NYC Health + Hospitals @BellevueHosp #NYCVaxChamps !,Neutral
1439695885143793668, You can visit the wall in the hospital ’s F - Link .,Neutral
1439695885143793668, Call … https://t.co/f9hq0XMYQl,Neutral
1439694967706947586, It ’s also easy for private sector electronic health record partners and hospitals to issue a secure one .,Positive
1439694967706947586, With pati … https://t.co/secqjgfjbb,Neutral
1439694537782403075, #Moderna announced that it initiated its submission to the #FDA for a #Booster #Dose of its #COVID19vaccine .,Neutral
1439694537782403075, MORE … https://t.co/0tchqqN3Pm,Neutral
1439694032968552451," RT @StanfordMed : Allergic reactions to the new mRNA - based COVID - 19 vaccines are rare , and according to a Stanford Medicine study , typically …",Positive
1439693490955370498," RT @blackwomenviews : Tweeting this "" Black COVID - 19 Experts "" list again for those interested in following trustworthy leaders in the medical …",Neutral
1439693429416632323," RT @StanfordMed : Allergic reactions to the new mRNA - based COVID - 19 vaccines are rare , and according to a Stanford Medicine study , typically …",Positive
1439692898866384896," RT @pchd : In addition to the static COVID vaccine clinics operating out of county buildings , there are also seven mobile pop - ups scheduled …",Negative
1439692760089497601," RT @StanfordMed : Allergic reactions to the new mRNA - based COVID - 19 vaccines are rare , and according to a Stanford Medicine study , typically …",Positive
1439692410582409216," RT @Thabang4real : #VaxxedGang 💉 💉 😍 ... Thankfully no extreme side effects , just a faint pain on the vaccinated arm .",Negative
1439692410582409216, Easily one of the most ha …,Neutral
1439692010559053831," RT @StanfordMed : Allergic reactions to the new mRNA - based COVID - 19 vaccines are rare , and according to a Stanford Medicine study , typically …",Positive
1439691798515896320," RT @StanfordMed : Allergic reactions to the new mRNA - based COVID - 19 vaccines are rare , and according to a Stanford Medicine study , typically …",Positive
1439691532282613763," Allergic reactions to the new mRNA - based COVID - 19 vaccines are rare , and according to a Stanford Medicine study , ty … https://t.co/cxRBowNuFE",Positive
1439685745153773569," RT @blackwomenviews : Tweeting this "" Black COVID - 19 Experts "" list again for those interested in following trustworthy leaders in the medical …",Neutral
1439685332933517321, RT @NHSNWCCG : 📣 If you ’re 18 + please do n’t forget to get both doses of your #COVID19Vaccine ; it 's vital you have both doses to ensure maximu …,Positive
1439685128419045380," ' Waning immunity ' term can lead to false understanding of COVID - 19 vaccines , experts say | CBC News … https://t.co/y4YFnzsPvv",Negative
1439684557251522565," One COVID Vaccine Held Up Best Over Time , CDC Study Suggests https://t.co/WuMMqu130f",Neutral
1439683923752144896," For those that are opposed to th e #COVID19Vaccine , check this tweet out … #getthejab https://t.co/GbEH1w2obU",Neutral
1439683533279203329," RT @blackwomenviews : Tweeting this "" Black COVID - 19 Experts "" list again for those interested in following trustworthy leaders in the medical …",Neutral
1439683474957373441," RT @blackwomenviews : Tweeting this "" Black COVID - 19 Experts "" list again for those interested in following trustworthy leaders in the medical …",Neutral
1439683303586422784," RT @MBGov : Stop by Kildonan park , between the pool and Rainbow stage , for the mobile #COVID19Vaccine clinic today , September 19 , between 11 …",Neutral
1439681327297699840, RT @AmEpilepsySoc : @tscalliance recently announced updated #COVID19vaccine guidance that includes the recommendation of a 3rd dose for #TSC …,Neutral
1439680323726417920, RT @CaringFriendsH2 : We are definitely seeing lots of examples of people who had the infection in the past and both with the Delta variant …,Neutral
1439680171032948741, RT @iamchanteezy : Nicki Minaj should be ashamed of herself for putting out misinformation on the #COVID19Vaccine https://t.co/dezgPHElO1,Neutral
1439679441752444939, RT @Gauci10P : @colleenaschwab @DrEricDing One of the rich who is getting richer on the backs of #antivaxxers and #COVIDIOTS was among the f …,Positive
1439678576983515137, RT @VaxHuntersON : Waterloo - Born 2009 or earlier - 1st and 2nd dose September 19th from 2 pm to 8:15 pm @ The Boardwalk - 435 The Boardwal …,Neutral
1439678228440956930, Community Place Hub in Toronto [ Toronto health unit ] 127 2nd dose spots added First available date is 2021-09-25 Bo … https://t.co/qd5welITcS,Neutral
1439678185382285312, Oooo my time for the vaccine cocktail 🥺 🥂 … .,Neutral
1439678185382285312, Wish me luck #COVID19Vaccine,Neutral
1439678133322518536, RT @AmEpilepsySoc : @tscalliance recently announced updated #COVID19vaccine guidance that includes the recommendation of a 3rd dose for #TSC …,Neutral
1439677758997729284, Kitchener - Born 2009 or earlier - 1st and 2nd dose September 19th from 3 pm to 6 pm @ Kitchener Ribfest - Victoria … https://t.co/Aklrae3z4L,Positive
1439677423390494730," According to @CDCgov 's #VAERS Vaccine Adverse Event Reporting System , 10s of 1000s - maybe even 100s of 1000s - of … https://t.co/vzag54zY1Q",Neutral
1439675716631728133, CAMH Vaccination Clinic in Toronto [ Toronto health unit ] 508 2nd dose spots added First available date is 2021-09-2 … https://t.co/cZwUD8tsyt,Positive
1439674874855890949, Waterloo - Born 2009 or earlier - 1st and 2nd dose September 19th from 2 pm to 8:15 pm @ The Boardwalk - 435 The Bo … https://t.co/t2GzYKNFrN,Neutral
1439674153519439882," RT @SMDhealthunit : #COVID19Vaccine pop - up clinic TODAY Sept 19 Georgian Mall , lower level 📍 509 Bayfield St. , ⌚️ 11 - 5 You can also get a va …",Negative
1439673168646529024," RT @SMDhealthunit : #COVID19Vaccine pop - up clinic TODAY Sept 19 Georgian Mall , lower level 📍 509 Bayfield St. , ⌚️ 11 - 5 You can also get a va …",Negative
1439672882204798980, We are definitely seeing lots of examples of people who had the infection in the past and both with the Delta varia … https://t.co/NOedfyMMKR,Positive
1439672274747944960," A tale of two vaccines : polio vs COVID19 ‘ The addition of political and religious conservatives , he says , made for … https://t.co/d1LM4PPIzA",Positive
1439672176400027651," RT @blackwomenviews : Tweeting this "" Black COVID - 19 Experts "" list again for those interested in following trustworthy leaders in the medical …",Neutral
1439670356420218893," RT @YorkRegionGovt : York Region pop - up #COVID19Vaccine clinic taking place today Sunday , September 19 : - Markham Presentation Centre , 162 …",Neutral
1439668468958203905, RT @NagalandNhm : Time for Faith and Fact to hand and hand .,Neutral
1439668468958203905," Protect yourself , Protect your loved ones .",Positive
1439668468958203905, Take all recommended doses of #Covid1 …,Neutral
1439667580780826628, RT @ALPublicHealth : Laura Bradford @missamericaal 2021 is joining the fight to #KickCovid !,Neutral
1439667580780826628, Good luck to the @JSUAthletics Gamecocks !,Neutral
1439667580780826628, Get te …,Neutral
1439666145070563328, RT @bcmhouston : Dr. Flor Munoz - Rivas talks about pediatric COVID - 19 vaccines and when they should be available for those under 12 .,Neutral
1439666145070563328, https : / / …,Neutral
1439665781277605890," As hospitalizations due to COVID - 19 increase , the ACIP says mRNA vaccine is safe for use among adolescents 12 to 17 … https://t.co/GQLeaSoMrD",Positive
1439665535499735042," RT @blackwomenviews : Tweeting this "" Black COVID - 19 Experts "" list again for those interested in following trustworthy leaders in the medical …",Neutral
1439663557067481090," RT @blackwomenviews : Tweeting this "" Black COVID - 19 Experts "" list again for those interested in following trustworthy leaders in the medical …",Neutral
1439663502852083713," RT @YorkRegionGovt : York Region pop - up #COVID19Vaccine clinic taking place today Sunday , September 19 : - Markham Presentation Centre , 162 …",Neutral
1439662502711857164," RT @blackwomenviews : Tweeting this "" Black COVID - 19 Experts "" list again for those interested in following trustworthy leaders in the medical …",Neutral
1439662252756512768," RT @blackwomenviews : Tweeting this "" Black COVID - 19 Experts "" list again for those interested in following trustworthy leaders in the medical …",Neutral
1439662215892652032," RT @blackwomenviews : Tweeting this "" Black COVID - 19 Experts "" list again for those interested in following trustworthy leaders in the medical …",Neutral
1439661794818080777, Dr. Fauci Funded 60 Projects at the Wuhan Institute of Virology and All Were in Conjunction with the Chinese Milita … https://t.co/lznjF0ncGF,Neutral
1439661778925989890," RT @blackwomenviews : Tweeting this "" Black COVID - 19 Experts "" list again for those interested in following trustworthy leaders in the medical …",Neutral
1439661646738251777, RT @NHSNWCCG : 📣 If you ’re 18 + please do n’t forget to get both doses of your #COVID19Vaccine ; it 's vital you have both doses to ensure maximu …,Positive
1439660005930815493, Amazing news coming out of @BBAtoronto and the #COVID19Vaccine mandate 🙌 🙌 Time to play #hockey 🏒 https://t.co/vaxKqVsri7,Positive
1439659764842213382," Oh My Fucking God , Get the Fucking Vaccine Already , You Fucking Fucks - Schools are closing because of these fuckin … https://t.co/nAR43JpzMN",Negative
1439657640859246598, RT @VaxToronto : Carefirst Seniors & Community Services Association in Scarborough [ Toronto health unit ] 192 2nd dose spots added First avai …,Neutral
1439657625805754369," RT @blackwomenviews : Tweeting this "" Black COVID - 19 Experts "" list again for those interested in following trustworthy leaders in the medical …",Neutral
1439656338150379525, A heartbreaking read .,Neutral
1439656338150379525, The devastating effect of covid and a glimpse into the long term impact on millions of lives … https://t.co/krTAK50Gcu,Negative
1439655093570347010," RT @MBGov : Stop by Kildonan park , between the pool and Rainbow stage , for the mobile #COVID19Vaccine clinic today , September 19 , between 11 …",Neutral
1439654360187801601, Evidence for #COVID19Vaccine boosters ... it works ( quickly !! ),Neutral
1439654360187801601, https://t.co/AKkNJV8VHb,Neutral
1439653487743324164," #PresidentBiden announced a “ Path out of the Pandemic , ” indicating that he will use regulatory powers and other act … https://t.co/n7J3mXtqWT",Neutral
1439653066853306374, Carefirst Seniors & Community Services Association in Scarborough [ Toronto health unit ] 192 2nd dose spots added Fi … https://t.co/NrTszyfe63,Neutral
1439652811906719744, RT @WarHorizon : Earth Shattering … .,Neutral
1439652811906719744, What I said 8 months back it ’s all playing out now .,Neutral
1439652811906719744, .,Neutral
1439652811906719744, #COVID19Vaccine,Neutral
1439652562001563649, RT @WarHorizon : Earth Shattering … .,Neutral
1439652562001563649, What I said 8 months back it ’s all playing out now .,Neutral
1439652562001563649, .,Neutral
1439652562001563649, #COVID19Vaccine,Neutral
1439652490660794371, Earth Shattering … .,Neutral
1439652490660794371, What I said 8 months back it ’s all playing out now .,Neutral
1439652490660794371, .,Neutral
1439652490660794371, #COVID19Vaccine https://t.co/Sf7faSPV3S,Neutral
1439652203518640135," RT @MBGov : Stop by Kildonan park , between the pool and Rainbow stage , for the mobile #COVID19Vaccine clinic today , September 19 , between 11 …",Neutral
1439651815381946374," RT @blackwomenviews : Tweeting this "" Black COVID - 19 Experts "" list again for those interested in following trustworthy leaders in the medical …",Neutral
1439650604910002183, Addressing your #COVID19 Vaccine concerns !,Neutral
1439650604910002183," Q : If I can still get COVID - 19 and I still have to follow the 3 Ws , do … https://t.co/y9ZmpWTeBp",Neutral
1439650379868762115, RT @Gauci10P : @colleenaschwab @DrEricDing One of the rich who is getting richer on the backs of #antivaxxers and #COVIDIOTS was among the f …,Positive
1439646230464892931, @tscalliance recently announced updated #COVID19vaccine guidance that includes the recommendation of a 3rd dose for … https://t.co/h7Jzo0uwvC,Neutral
1439644611614543874, RT @VaxYork : York Region Administrative Centre in Newmarket [ York health unit ] 1015 2nd dose spots added First available date is 2021-09-19 …,Neutral
1439643635838959625," RT @blackwomenviews : Tweeting this "" Black COVID - 19 Experts "" list again for those interested in following trustworthy leaders in the medical …",Neutral
1439642863218876419, RT @chngin_the_wrld : How about a little #COVID19vaccine humor on the elusiveness of #herdimmunity ?,Neutral
1439642863218876419, I bet @EricTopol will get a kick out of …,Neutral
1439639260550688769," RT @moneycontrolcom : Comedian Chris Rock tests positive for COVID - 19 , urges everyone to ' get vaccinated ' 💉 😷 Read the story here 👇 https : / / …",Neutral
1439639000201969664," RT @moneycontrolcom : Comedian Chris Rock tests positive for COVID - 19 , urges everyone to ' get vaccinated ' 💉 😷 Read the story here 👇 https : / / …",Neutral
1439638721129697283," RT @moneycontrolcom : Comedian Chris Rock tests positive for COVID - 19 , urges everyone to ' get vaccinated ' 💉 😷 Read the story here 👇 https : / / …",Neutral
1439638698220392449," Comedian Chris Rock tests positive for COVID - 19 , urges everyone to ' get vaccinated ' 💉 😷 Read the story here 👇 … https://t.co/CWcEDC0UuE",Neutral
1439638591320121344," RT @MBGov : Stop by Kildonan park , between the pool and Rainbow stage , for the mobile #COVID19Vaccine clinic today , September 19 , between 11 …",Neutral
1439638452543180802, RT @CaringFriendsH2 : covid - 19 Vaccine protection more consistent .,Positive
1439638452543180802, SO QUICK REGISTER NOW & VACCINATED > > https://t.co/AbyJzQBJ5o call us : …,Neutral
1439638353108865025, RT @CaringFriendsH2 : Get the Covid - 19 vaccine to prevent the virus from spreading to yourself and others .,Neutral
1439638353108865025, SO QUICK REGISTER NOW & VACCINAT …,Positive
1439636994460635139, @cvspharmacy @cvspharmacy made an appointment for a #COVID19Vaccine at you pharmacy in zip code 70785 for this am … https://t.co/4tPeavdh2h,Neutral
1439636809621856257, @cvspharmacy @cvspharmacy made an appointment for a #COVID19Vaccine at you pharmacy in zip code 70785 for this am … https://t.co/q4ysLtYVjx,Neutral
1439636741145698311," #Ontario Administered 29,975 Vaccine Doses Yesterday , Reaching A Total Of 21.38 Million #VaccineDoses 85 % Of … https://t.co/eUHHpPf69C",Neutral
1439636702839123971, @cvspharmacy @cvspharmacy made an appointment for a #COVID19Vaccine at you pharmacy in zip code 70785 for this am … https://t.co/OZBCuGiijO,Neutral
1439636554658500615, @cvspharmacy @MashedHQ @cvspharmacy made an appointment for a #COVID19Vaccine at you pharmacy in zip code 70785 f … https://t.co/rksSmAkGkS,Neutral
1439636313708302338, @cvspharmacy made an appointment for a #COVID19Vaccine at you pharmacy in zip code 70785 for this am only to be t … https://t.co/AF9EVAIz6O,Neutral
1439636134280183817, RT @VaxYork : Shoppers Drug Mart # 1148 in Richmond Hill [ York health unit ] 111 2nd dose spots added First available date is 2021-09-22 Book …,Neutral
1439634057776742406," RT @MBGov : Stop by Kildonan park , between the pool and Rainbow stage , for the mobile #COVID19Vaccine clinic today , September 19 , between 11 …",Neutral
1439632985142308872," RT @blackwomenviews : Tweeting this "" Black COVID - 19 Experts "" list again for those interested in following trustworthy leaders in the medical …",Neutral
1439632520295890946," RT @AureliaCotta : Solid Medical explanation / analogies , on “ why the vaccine makes a better lifetime immune system than getting COVID19 does ” …",Neutral
1439632234399641609," 📢 #COVIDIOTS #CovidIsNotOver #WearAMask 𝐓𝐄𝐗𝐀𝐒 𝐌𝐞𝐠𝐚𝐜𝐡𝐮𝐫𝐜𝐡 𝐩𝐫𝐞𝐚𝐜𝐡𝐞𝐫 , 𝐑𝐞𝐯 .",Neutral
1439632234399641609, 𝐑𝐨𝐛𝐞𝐫𝐭 𝐉𝐞𝐟𝐟𝐫𝐞𝐬𝐬 a long time Trump sycophan … https://t.co/3iRWyvj8Y9,Neutral
1439631243155582983," Solid Medical explanation / analogies , on “ why the vaccine makes a better lifetime immune system than getting COVID19 … https://t.co/D8oBvTkr4t",Neutral
1439630413627015177, Shoppers Drug Mart # 1148 in Richmond Hill [ York health unit ] 111 2nd dose spots added First available date is 2021 - … https://t.co/Nni6s6VNAx,Negative
1439630412301717510, Shoppers Drug Mart # 1148 in Richmond Hill [ York health unit ] 111 1st dose spots added First available date is 2021 - … https://t.co/RiB3xG67Bv,Neutral
1439626791233146880," RT @blackwomenviews : Tweeting this "" Black COVID - 19 Experts "" list again for those interested in following trustworthy leaders in the medical …",Neutral
1439626688640557063," RT @SMDhealthunit : #COVID19Vaccine pop - up clinic TODAY Sept 19 Georgian Mall , lower level 📍 509 Bayfield St. , ⌚️ 11 - 5 You can also get a va …",Negative
1439624988580098048, RT @chngin_the_wrld : How about a little #COVID19vaccine humor on the elusiveness of #herdimmunity ?,Neutral
1439624988580098048, I bet @EricTopol will get a kick out of …,Neutral
1439624004109848577," RT @blackwomenviews : Tweeting this "" Black COVID - 19 Experts "" list again for those interested in following trustworthy leaders in the medical …",Neutral
1439623918562668552," RT @LindoBaconX : Yes , COVID Vaccines Work for Fat People | MedPage Today https://t.co/7fwBDc3oeX",Negative
1439623728762167296," RT @MBGov : Stop by Kildonan park , between the pool and Rainbow stage , for the mobile #COVID19Vaccine clinic today , September 19 , between 11 …",Neutral
1439622189129424899," Scientists studying whether it 's possible to grow , eat mRNA vaccines https://t.co/ec6t7iVtQv via @CTVNews #COVID19 … https://t.co/RWQOQO6erd",Negative
1439621956295397383," RT @MBGov : Stop by Kildonan park , between the pool and Rainbow stage , for the mobile #COVID19Vaccine clinic today , September 19 , between 11 …",Neutral
1439620802060734466," RT @LindoBaconX : Yes , COVID Vaccines Work for Fat People | MedPage Today https://t.co/7fwBDc3oeX",Negative
1439620571587829765," New Yorkers can get $ 100 , free tickets , memberships or gifts for getting vaccinated against #COVID19 .",Neutral
1439620571587829765, These giveawa … https://t.co/VX776hV10x,Neutral
1439620448833073152, Do anti-vaxxers live their lives taking no risks at all ?,Neutral
1439620448833073152," No tattoos , drugs , cocktails , driving , sex , animal product … https://t.co/9AHzSZotWF",Positive
1439620441556008964," The Community Health Center , Inc. is holding a pop - up COVID - 19 vaccine clinic at the Meriden YMCA on Thursday Septe … https://t.co/lqgJxthUul",Neutral
1439620439005966340," Yes , COVID Vaccines Work for Fat People | MedPage Today https://t.co/7fwBDc3oeX",Neutral
1439619995143753732," RT @MBGov : Stop by Kildonan park , between the pool and Rainbow stage , for the mobile #COVID19Vaccine clinic today , September 19 , between 11 …",Neutral
1439619042462027779, Researchers suspect the results could result from a larger dose of #mRNA or a longer window between the prime and b … https://t.co/5BmLraC07H,Neutral
1439618593751277569, Are you an #employer thinking of a #COVID19Vaccine #mandate ?,Neutral
1439618593751277569, Or perhaps a #vaccine #incentive for your #employees ?,Neutral
1439618593751277569, … https://t.co/82nUlucCyV,Neutral
1439618159183605767, RT @bcmhouston : Dr. Flor Munoz - Rivas talks about pediatric COVID - 19 vaccines and when they should be available for those under 12 .,Neutral
1439618159183605767, https : / / …,Neutral
1439617895483461641," RT @blackwomenviews : Tweeting this "" Black COVID - 19 Experts "" list again for those interested in following trustworthy leaders in the medical …",Neutral
1439617884527939592," RT @blackwomenviews : Tweeting this "" Black COVID - 19 Experts "" list again for those interested in following trustworthy leaders in the medical …",Neutral
1439617660384423942," RT @SMDhealthunit : #COVID19Vaccine pop - up clinic TODAY Sept 19 Georgian Mall , lower level 📍 509 Bayfield St. , ⌚️ 11 - 5 You can also get a va …",Negative
1439617233060343827," RT @blackwomenviews : Tweeting this "" Black COVID - 19 Experts "" list again for those interested in following trustworthy leaders in the medical …",Neutral
1439616659082387456," RT @VUMChealth : An alarming number of pregnant #COVID19 patients were hospitalized here in August , many admitted to ICU .",Negative
1439616659082387456, We urge all women …,Neutral
1439616273491582978, Two travelers submitted fake vaccination cards before flying to Toronto .,Negative
1439616273491582978," Each was fined nearly $ 16,000 .",Neutral
1439616273491582978, … https://t.co/GTQQZjfDgp,Neutral
1439615616290369536," RT @blackwomenviews : Tweeting this "" Black COVID - 19 Experts "" list again for those interested in following trustworthy leaders in the medical …",Neutral
1439615055373512705," RT @blackwomenviews : Tweeting this "" Black COVID - 19 Experts "" list again for those interested in following trustworthy leaders in the medical …",Neutral
1439613987176419333," RT @blackwomenviews : Tweeting this "" Black COVID - 19 Experts "" list again for those interested in following trustworthy leaders in the medical …",Neutral
1439613747329388546," RT @MBGov : Stop by Kildonan park , between the pool and Rainbow stage , for the mobile #COVID19Vaccine clinic today , September 19 , between 11 …",Neutral
1439613455695323141, RT @bcmhouston : Dr. Flor Munoz - Rivas talks about pediatric COVID - 19 vaccines and when they should be available for those under 12 .,Neutral
1439613455695323141, https : / / …,Neutral
1439613388599013376," RT @blackwomenviews : Tweeting this "" Black COVID - 19 Experts "" list again for those interested in following trustworthy leaders in the medical …",Neutral
1439612456918126593, RT @satya_yadav : @yadav8897 No published data to support these statements Vaccines DO NOT suppress immune system Vaccines DO NOT cause …,Negative
